id,Manufacturer,Model
3388,AMG,300 SEL 6.8 AMG '71
2170,AMG,A 45 AMG '13
3531,AMG,GT3 '20
3458,AMG,Mercedes-AMG C 63 S '15
3485,AMG,Mercedes-AMG GT Black Series '20
3416,AMG,Mercedes-AMG GT R '17
2149,AMG,Mercedes-AMG GT S '15
3210,AMG,Mercedes-AMG GT Safety Car
3224,AMG,Mercedes-AMG GT3 '16
2055,AMG,Mercedes-Benz AMG VGT
2076,AMG,Mercedes-Benz AMG VGT Racing Series
1507,AMG,SLS AMG '10
1797,AMG,SLS AMG GT3 '11
3192,AMG,SLS AMG Gr.4
1932,Abarth,1500 Biposto Bertone B.A.T 1 '52
1973,Abarth,Abarth 500 '09
3438,Abarth,Abarth 595 SS '70
365,Alfa Romeo,155 2.5 V6 TI '93
2136,Alfa Romeo,4C '14
3185,Alfa Romeo,4C Gr.3
3299,Alfa Romeo,4C Gr.3 Road Car
2166,Alfa Romeo,4C Gr.4
3415,Alfa Romeo,8C 2900B Touring Berlinetta '38
1578,Alfa Romeo,8C Competizione '08
1645,Alfa Romeo,GIULIA TZ2 carrozzata da ZAGATO '65
3411,Alfa Romeo,Giulia GTAm '20
3530,Alfa Romeo,Giulia Sprint GT Veloce '67
1933,Alfa Romeo,MiTo '09
3337,Alpine,A110 '17
1796,Alpine,A110 '72
3457,Alpine,A220 Race Car '68
2112,Alpine,Alpine VGT
3187,Alpine,Alpine VGT '17
2116,Alpine,Alpine VGT Race
1549,Amuse,Amuse NISMO 380RS Super Leggera
1433,Amuse,Amuse S2000 GT1 Turbo
3343,Aston Martin,DB11 '16
3363,Aston Martin,DB3S '53
3445,Aston Martin,DB5 '64
3394,Aston Martin,DBR9 GT1 '10
2103,Aston Martin,DP-100 VGT
1898,Aston Martin,One-77 '11
2131,Aston Martin,V12 Vantage GT3 '12
2157,Aston Martin,V8 Vantage Gr.4
2175,Aston Martin,V8 Vantage S '15
3532,Aston Martin,Valkyrie '21
3309,Aston Martin,Vulcan '16
3314,Audi,Audi VGT
3351,Audi,Audi e-tron VGT
3334,Audi,R18 '16
1965,Audi,R18 TDI '11
